episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
nan,nan,nan,nan,0,0,4000,False,0,1,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-03-38,1619773418,40.7036349773407,40.7036349773407,44429,Hinton,143.248.157.211,40.7036349773407,0,1,d3a82_00000,[],[],23104.497,173.126,17598.315,227.294,4000,4000,17.40344827586207,47.19827586206896,0.0,0.2,5e-05,0.05203880101907998,-0.01387062028516084,0.06113137805368751,0.22230354,0.023890229174867272,1.5850418135523796,0.0
0.0,-1.0,-0.75,1388.25,4,0,8000,False,4,2,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-04-26,1619773466,48.06803870201111,88.7716736793518,44429,Hinton,143.248.157.211,88.7716736793518,0,2,d3a82_00000,"[0.0, -1.0, -1.0, -1.0]","[5002, 206, 144, 201]",24832.059,161.082,19552.538,204.577,8000,8000,32.61304347826087,56.397101449275354,0.0,0.30000000000000004,5e-05,0.011245436791796237,-0.016180759092094377,0.02299214040976949,0.78070116,0.014780179742956534,1.5750041157007217,0.0
0.0,-1.0,-0.6,2111.0,1,0,12000,False,5,3,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-05-18,1619773518,52.04964804649353,140.82132172584534,44429,Hinton,143.248.157.211,140.82132172584534,0,3,d3a82_00000,"[0.0, 0.0, -1.0, -1.0, -1.0]","[5002, 5002, 206, 144, 201]",26447.998,151.24,20489.961,195.218,12000,12000,36.79324324324324,61.53513513513514,0.0,0.30000000000000004,5e-05,-0.003507647372316569,-0.02852245606482029,0.018795231560943648,0.7368671,0.02073192544048652,1.575172245502472,0.0
0.0,-1.0,-0.5,2592.8333333333335,1,0,16000,False,6,4,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-06-12,1619773572,53.66474771499634,194.48606944084167,44429,Hinton,143.248.157.211,194.48606944084167,0,4,d3a82_00000,"[0.0, 0.0, -1.0, -1.0, -1.0, 0.0]","[5002, 5002, 206, 144, 201, 5002]",27816.55,143.799,20802.732,192.282,16000,16000,37.92631578947368,61.92763157894738,0.0,0.45000000000000007,5e-05,-0.02426187213859521,-0.03182722860947251,0.0012742748785967706,0.71485054,0.01398018148029223,1.5619315095245838,0.0
0.0,-1.0,-0.6666666666666666,2115.1111111111113,3,0,20000,False,9,5,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-07-08,1619773628,56.41461968421936,250.90068912506104,44429,Hinton,143.248.157.211,250.90068912506104,0,5,d3a82_00000,"[-1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0]","[1728, 469, 1282, 5002, 206, 144, 201, 5002, 5002]",28648.241,139.625,21529.76,185.789,20000,20000,37.63086419753086,62.59135802469135,0.0,0.45000000000000007,5e-05,-0.020608816004823893,-0.03244261734653264,0.0035543246303859632,0.8894981,0.018398836895357817,1.5501143597066402,0.0
0.0,-1.0,-0.6666666666666666,2115.1111111111113,0,0,24000,False,9,6,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-08-02,1619773682,53.8837673664093,304.78445649147034,44429,Hinton,143.248.157.211,304.78445649147034,0,6,d3a82_00000,"[0.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0]","[5002, 206, 144, 201, 5002, 5002, 1728, 469, 1282]",28742.11,139.169,22053.272,181.379,24000,24000,35.89342105263159,61.99736842105262,0.0,0.45000000000000007,5e-05,-0.024029724881984293,-0.03165741037810221,0.0004892903198197018,0.7291045,0.01586310047423467,1.5409212075173855,0.0
0.0,-1.0,-0.6,2403.8,1,0,28000,False,10,7,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-08-55,1619773735,53.141844511032104,357.92630100250244,44429,Hinton,143.248.157.211,357.92630100250244,0,7,d3a82_00000,"[0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0]","[5002, 5002, 206, 144, 201, 5002, 5002, 1728, 469, 1282]",28901.247,138.402,22229.051,179.945,28000,28000,35.597368421052636,61.984210526315806,0.0,0.45000000000000007,5e-05,-0.03178734862012789,-0.042058720893692225,0.00019300952590128873,0.80148727,0.02239636582089588,1.5260006450116634,0.0
0.0,-1.0,-0.5454545454545454,2640.0,1,0,32000,False,11,8,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-09-53,1619773793,57.35563826560974,415.2819392681122,44429,Hinton,143.248.157.211,415.2819392681122,0,8,d3a82_00000,"[0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0]","[5002, 5002, 206, 144, 201, 5002, 5002, 1728, 469, 1282, 5002]",29317.375,136.438,22590.901,177.062,32000,32000,44.356097560975606,65.06829268292682,0.0,0.675,5e-05,-0.021179482515435666,-0.03012726831366308,6.66100665966951e-05,0.66991353,0.013157291454263031,1.516060195863247,0.0
0.0,-1.0,-0.5,2836.8333333333335,1,0,36000,False,12,9,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-10-58,1619773858,65.01142978668213,480.2933690547943,44429,Hinton,143.248.157.211,480.2933690547943,0,9,d3a82_00000,"[0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0]","[5002, 5002, 206, 144, 201, 5002, 5002, 1728, 469, 1282, 5002, 5002]",30168.434,132.589,23195.527,172.447,36000,36000,52.473913043478255,70.18043478260869,0.0,0.675,5e-05,-0.008893098449334502,-0.015529676340520382,0.00010623411480992218,0.6871905,0.009674583474406973,1.5185307525098324,0.0
0.0,-1.0,-0.46153846153846156,3003.3846153846152,1,0,40000,False,13,10,84ec11b801b04cdd9d67954ecae714e8,2021-04-30_18-12-09,1619773929,71.70419645309448,551.9975655078888,44429,Hinton,143.248.157.211,551.9975655078888,0,10,d3a82_00000,"[0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0]","[5002, 5002, 206, 144, 201, 5002, 5002, 1728, 469, 1282, 5002, 5002, 5002]",31328.988,127.677,23868.841,167.582,40000,40000,54.50588235294118,72.86568627450981,0.0,0.675,5e-05,-0.00871908076805994,-0.015571448690025136,2.867836980158245e-05,0.3013941,0.010109171707881615,1.5562028922140598,0.0
